#HIPID	ASASID	RA	DEC	plx	e_plc	pmRA	e_pmRA	pmDE	e_pmDE	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Vmag	BVmag	e_bv_arr
22253	044726+2303.1	71.85890865	23.05102272	15.89	2.32	81.08	2.37	-41.33	1.5	8.69	0.039	8.134	0.026	7.995	0.033	10.69	1.112	0.004
19757	041408+0924.4	63.53352905	9.40672589	18.73	4.19	107.1	4.02	-9.2	3.36	8.92	0.029	8.304	0.031	8.221	0.034	11.09	1.21	0.02
23214	045944+1555.0	74.93445975	15.91680469	24.5	0.41	85.86	0.4	-29.78	0.24	5.856	0.024	5.694	0.033	5.645	0.016	6.75	0.45	0.015
23069	045750+1400.1	74.45609855	14.00223346	19.22	1.39	70.47	1.32	-17.96	0.98	7.569	0.019	7.268	0.055	7.235	0.017	8.89	0.737	0.001
22550	045114+1104.0	72.8020062	11.06804681	21.33	0.96	87.47	1.41	-9.41	0.91	5.71	0.03	5.523	0.036	5.436	0.016	6.79	0.543	0.013
17962	035025+1714.8	57.60370501	17.24656273	22.69	1.51	129.76	1.42	-23.07	1.14	7.776	0.023	7.401	0.059	7.249	0.023	9.46	0.85	0.01
19441	040949+0918.3	62.45524035	9.30550495	32.27	1.84	154.13	2.21	-3.32	1.92	7.912	0.019	7.34	0.023	7.264	0.02	10.1	1.192	0.011
18322	035501+1229.1	58.75567882	12.48561136	25.62	1.82	127.38	2.15	-11.75	1.51	8.181	0.021	7.692	0.024	7.574	0.021	10.12	1.07	0.015
20626	042511+2545.0	66.29494595	25.74923968	15.59	0.95	57.21	0.97	-25.9	0.86	6.934	0.018	6.745	0.016	6.672	0.021	7.86	0.448	0.02
18658	0	59.91839558	10.33041045	24.98	1.21	140.62	1.27	-6.48	0.92	5.565	0.018	5.391	0.029	5.323	0.016	6.35	0.417	0.012
20895	042839+2613.1	67.16575429	26.22016704	27.0	2.79	75.3	3.35	-35.17	1.9	8.366	0.021	7.681	0.024	7.559	0.027	10.92	1.389	0.006
22221	044646+0901.0	71.68968169	9.01746125	25.13	0.86	86.14	1.05	-15.31	0.67	6.15	0.018	5.878	0.029	5.841	0.02	7.24	0.56	0.004
23498	050308+1343.8	75.78174163	13.73071399	17.37	1.65	66.45	1.42	-17.9	0.93	7.629	0.032	7.303	0.018	7.226	0.027	9.0	0.765	0.002
21670	0	69.77542914	7.87098782	20.34	0.35	94.33	0.48	-2.28	0.38	5.18	0.254	4.928	0.029	4.808	0.02	5.38	0.257	0.009
22394	044913+2448.1	72.30388138	24.8029688	20.11	1.6	84.45	1.69	-52.41	1.19	7.582	0.027	7.12	0.038	6.956	0.038	9.51	1.052	0.004
23750	050618+1749.0	76.57479025	17.81649198	19.8	1.38	63.5	1.19	-32.45	0.71	7.514	0.018	7.216	0.046	7.128	0.017	8.82	0.73	0.015
